Date,Event mm,Flag,Flag 2
02/04/2013 12:14:31,0,I,I
02/04/2013 12:16:10,0,x,         
02/04/2013 12:16:27,0,x,
02/04/2013 12:18:45,0,x,
02/04/2013 12:28:07,0,x,
02/04/2013 12:29:06,0,x,
02/04/2013 12:29:09,0,x,
02/04/2013 12:29:18,0,x,
02/04/2013 12:29:40,0,x,
02/04/2013 12:29:47,0,x,
02/04/2013 12:30:38,0,x,
02/04/2013 12:31:09,0,x,
03/04/2013 21:50:02,0.2,,
03/04/2013 21:51:23,0.2,,
03/04/2013 21:52:38,0.2,,
03/04/2013 21:53:43,0.2,,
03/04/2013 21:55:12,0.2,,
03/04/2013 21:56:48,0.2,,
03/04/2013 21:58:30,0.2,,
03/04/2013 22:10:36,0.2,,
03/04/2013 22:17:07,0.2,,
03/04/2013 22:20:12,0.2,,
03/04/2013 22:25:09,0.2,,
03/04/2013 22:30:38,0.2,,
03/04/2013 22:38:12,0.2,,
03/04/2013 22:46:09,0.2,,
03/04/2013 22:54:22,0.2,,
08/04/2013 04:16:40,0.2,,
08/04/2013 11:49:38,0.2,,
12/04/2013 12:25:51,0.2,,
12/04/2013 12:36:07,0.2,,
12/04/2013 12:37:22,0.2,,
12/04/2013 12:41:48,0.2,,
12/04/2013 12:42:55,0.2,,
12/04/2013 12:44:18,0.2,,
12/04/2013 12:45:50,0.2,,
12/04/2013 12:49:15,0.2,,
12/04/2013 12:52:30,0.2,,
12/04/2013 12:57:07,0.2,,
30/04/2013 10:02:54,0,D,D
30/04/2013 10:01:00,,Vacío de datos,
17/05/2013 10:49:00,,,
17/05/2013 10:50:00,0,I,I
17/05/2013 12:36:32,0.2,,
17/05/2013 16:13:02,0.2,,
18/05/2013 14:27:43,0.2,,
24/05/2013 19:27:18,0.2,,
24/05/2013 19:36:09,0.2,,
24/05/2013 19:39:58,0.2,,
24/05/2013 19:49:17,0.2,,
24/05/2013 20:09:47,0.2,,
24/05/2013 21:48:25,0.2,,
24/05/2013 21:57:33,0.2,,
24/05/2013 22:05:39,0.2,,
24/05/2013 23:54:26,0.2,,
04/06/2013 09:08:27,0,D,D
04/06/2013 10:45:00,0,I,I
10/06/2013 13:44:25,0.2,,
10/06/2013 13:59:44,0.2,,
10/06/2013 14:17:49,0.2,,
10/06/2013 14:21:54,0.2,,
10/06/2013 14:26:58,0.2,,
10/06/2013 14:29:42,0.2,,
10/06/2013 14:33:43,0.2,,
10/06/2013 14:37:29,0.2,,
10/06/2013 14:40:31,0.2,,
10/06/2013 14:45:16,0.2,,
10/06/2013 14:49:41,0.2,,
10/06/2013 14:55:21,0.2,,
10/06/2013 15:02:54,0.2,,
11/06/2013 15:36:29,0.2,,
12/06/2013 09:21:02,0.2,,
12/06/2013 09:23:02,0.2,,
12/06/2013 09:24:53,0.2,,
12/06/2013 09:27:33,0.2,,
12/06/2013 09:30:31,0.2,,
12/06/2013 09:35:03,0.2,,
12/06/2013 09:41:23,0.2,,
12/06/2013 09:48:07,0.2,,
12/06/2013 09:54:16,0.2,,
12/06/2013 09:59:23,0.2,,
12/06/2013 10:06:27,0.2,,
12/06/2013 10:13:14,0.2,,
12/06/2013 12:20:36,0.2,,
12/06/2013 12:37:29,0.2,,
12/06/2013 13:37:41,0.2,,
12/06/2013 13:38:59,0.2,,
12/06/2013 13:40:00,0.2,,
12/06/2013 13:41:23,0.2,,
12/06/2013 13:42:45,0.2,,
12/06/2013 13:44:58,0.2,,
12/06/2013 13:46:49,0.2,,
12/06/2013 13:49:34,0.2,,
13/06/2013 10:24:52,0.2,,
19/06/2013 11:08:02,0.2,,
19/06/2013 11:14:37,0.2,,
19/06/2013 11:26:51,0.2,,
19/06/2013 12:14:41,0.2,,
19/06/2013 12:19:41,0.2,,
19/06/2013 12:29:07,0.2,,
19/06/2013 12:39:57,0.2,,
19/06/2013 16:53:13,0.2,,
19/06/2013 17:10:43,0.2,,
19/06/2013 17:16:34,0.2,,
19/06/2013 17:22:16,0.2,,
20/06/2013 06:35:26,0.2,,
20/06/2013 06:36:46,0.2,,
20/06/2013 06:43:04,0.2,,
20/06/2013 06:52:31,0.2,,
20/06/2013 07:02:51,0.2,,
20/06/2013 07:13:38,0.2,,
20/06/2013 07:24:52,0.2,,
20/06/2013 07:36:33,0.2,,
20/06/2013 07:40:23,0.2,,
20/06/2013 07:49:46,0.2,,
20/06/2013 07:58:10,0.2,,
20/06/2013 08:05:39,0.2,,
20/06/2013 08:11:57,0.2,,
20/06/2013 08:19:48,0.2,,
20/06/2013 08:29:21,0.2,,
