Date,Event mm,Flag,
12/11/2014 02:31:45,0.2,,
12/11/2014 02:31:46,0.2,,
12/11/2014 05:55:17,0.2,,
12/11/2014 05:55:18,0.2,,
12/11/2014 12:14:51,0.2,,
12/11/2014 13:01:05,0.2,,
12/11/2014 14:16:17,0.2,,
12/11/2014 14:20:17,0.2,,
12/11/2014 14:23:04,0.2,,
12/11/2014 14:30:21,0.2,,
12/11/2014 14:36:51,0.2,,
12/11/2014 14:42:44,0.2,,
12/11/2014 14:45:21,0.2,,
12/11/2014 14:54:57,0.2,,
12/11/2014 14:59:43,0.2,,
12/11/2014 14:59:44,0.2,,
12/11/2014 15:03:20,0.2,,
12/11/2014 15:06:14,0.2,,
12/11/2014 15:10:06,0.2,,
12/11/2014 15:10:07,0.2,,
12/11/2014 15:13:17,0.2,,
12/11/2014 15:16:05,0.2,,
12/11/2014 15:16:06,0.2,,
12/11/2014 15:19:01,0.2,,
12/11/2014 15:22:23,0.2,,
12/11/2014 15:28:19,0.2,,
12/11/2014 15:37:58,0.2,,
12/11/2014 15:37:59,0.2,,
12/11/2014 15:39:56,0.2,,
12/11/2014 15:44:13,0.2,,
12/11/2014 15:48:06,0.2,,
12/11/2014 15:52:58,0.2,,
12/11/2014 16:00:20,0.2,,
12/11/2014 16:16:28,0.2,,
12/11/2014 16:16:29,0.2,,
12/11/2014 16:24:39,0.2,,
12/11/2014 16:30:01,0.2,,
12/11/2014 16:35:54,0.2,,
12/11/2014 16:35:55,0.2,,
12/11/2014 16:40:56,0.2,,
12/11/2014 16:40:57,0.2,,
12/11/2014 16:44:12,0.2,,
12/11/2014 16:48:10,0.2,,
12/11/2014 16:50:41,0.2,,
12/11/2014 16:53:34,0.2,,
12/11/2014 16:56:24,0.2,,
12/11/2014 17:00:23,0.2,,
12/11/2014 17:03:29,0.2,,
12/11/2014 17:06:52,0.2,,
12/11/2014 17:09:49,0.2,,
12/11/2014 17:12:58,0.2,,
12/11/2014 17:16:29,0.2,,
12/11/2014 17:20:25,0.2,,
12/11/2014 17:23:49,0.2,,
12/11/2014 17:23:50,0.2,,
12/11/2014 17:26:39,0.2,,
12/11/2014 17:29:40,0.2,,
12/11/2014 17:33:00,0.2,,
12/11/2014 17:35:11,0.2,,
12/11/2014 17:39:52,0.2,,
12/11/2014 17:48:24,0.2,,
12/11/2014 17:56:22,0.2,,
12/11/2014 18:13:55,0.2,,
13/11/2014 14:03:28,0.2,,
13/11/2014 14:21:09,0.2,,
13/11/2014 14:49:51,0.2,,
13/11/2014 15:02:45,0.2,,
13/11/2014 15:13:44,0.2,,
13/11/2014 15:24:30,0.2,,
13/11/2014 15:35:43,0.2,,
13/11/2014 15:35:44,0.2,,
